Country,U5MR,Sanitatation Facilities,Skilled Attendant at  birth ,ODA inflow,HDI 2013,GNI 2013,Population (Thousands) 2013,Life Expectancy 2013,Total Fertility Rate,GNIper capital (US$)
Kazakhstan,16,97,100,130,0.757,"11,380",16440.59,66.54,2.46,"11,380"
Kenya,71,30,44,"2,654",0.535,930,44353.69,61.72,4.38,930
Kiribati,58,40,80,65,0.607,"2,620",102.35,68.91,2.95,"2,620"
Kuwait,10,100,100,,0.814,"44,940",3368.57,74.29,2.6,"44,940"
Kyrgyzstan,24,92,99,473,0.628,"1,200",5547.55,67.53,3.08,"1,200"
Lao People's Democratic Republic,71,65,42,409,0.569,"1,460",6769.73,68.31,3.02,"1,460"
Latvia,8,,100,,0.81,"14,060",2050.32,72.15,1.61,"14,060"
Lebanon,9,,98,710,0.765,"9,870",4821.97,80.01,1.5,"9,870"
Lesotho,98,30,62,283,0.486,"1,550",2074.47,49.45,3.04,"1,550"
Liberia,71,17,46,571,0.412,410,4294.08,60.56,4.79,410
Libya,15,97,100,87,0.784,,6201.52,75.33,2.36,
Lithuania,5,94,100,,0.834,"13,820",3016.93,72.11,1.52,"13,820"
Luxembourg,2,100,100,,0.881,"71,810",530.38,80.55,1.67,"71,810"
Madagascar,56,14,44,379,0.498,440,22924.85,64.72,4.47,440
Malawi,68,10,71,"1,175",0.414,270,16362.57,55.31,5.39,270
Malaysia,9,96,99,15,0.773,"10,400",29716.97,75.02,1.96,"10,400"
Maldives,10,99,99,58,0.698,"5,600",345.02,77.92,2.26,"5,600"
Mali,123,22,56,"1,001",0.407,670,15301.65,55.03,6.85,670
Malta,6,100,,,0.829,"19,730",429,79.75,1.36,"19,730"
Mauritania,90,27,65,408,0.487,"1,060",3889.88,61.55,4.67,"1,060"
Mauritius,14,91,98,178,0.771,"9,300",1244.4,73.61,1.5,"9,300"
Mexico,15,85,96,418,0.756,"9,940",122332.4,77.5,2.19,"9,940"
Micronesia (Federated States of),36,57,100,115,0.63,"3,430",103.55,68.99,3.29,"3,430"
Mongolia,32,56,99,449,0.698,"3,770",2839.07,67.5,2.44,"3,770"
Montenegro,5,90,100,103,0.789,"7,260",621.38,74.82,1.67,"7,260"
Morocco,30,75,74,"1,480",0.617,"3,030",33008.15,70.94,2.74,"3,030"
Mozambique,87,21,54,"2,097",0.393,590,25833.75,50.25,5.19,590
Myanmar,51,77,71,504,0.524,,53259.02,65.18,1.94,
Namibia,50,32,81,265,0.624,"5,840",2303.32,64.48,3.05,"5,840"
Nepal,40,37,36,770,0.54,730,27797.46,68.41,2.3,730
Netherlands,4,100,,,0.915,"47,440",16759.23,81.04,1.77,"47,440"
Nicaragua,24,52,88,532,0.614,"1,780",6080.48,74.84,2.5,"1,780"
Niger,104,9,29,902,0.337,410,17831.27,58.41,7.56,410
Nigeria,117,28,38,"1,916",0.504,"2,760",173615.35,52.51,5.98,"2,760"
Norway,3,100,,,0.944,"102,610",5042.67,81.5,1.93,"102,610"
Oman,11,97,99,,0.783,"25,250",3632.44,76.55,2.85,"25,250"
Pakistan,86,48,52,"2,019",0.537,"1,380",182142.59,66.57,3.19,"1,380"
Palau,18,100,100,15,0.775,"10,970",20.92,,,"10,970"
Panama,18,73,94,51,0.765,"10,700",3864.17,77.56,2.47,"10,700"
Papua New Guinea,61,19,53,665,0.491,"2,010",7321.26,62.42,3.78,"2,010"
Paraguay,22,80,96,104,0.676,"4,040",6802.3,72.26,2.86,"4,040"
Peru,17,73,87,394,0.737,"6,390",30375.6,74.83,2.42,"6,390"
Philippines,30,74,72,5,0.66,"3,270",98393.57,68.7,3.04,"3,270"
Poland,5,,100,,0.834,"12,960",38216.64,76.41,1.42,"12,960"
Portugal,4,100,100,,0.822,"20,670",10608.16,79.95,1.32,"20,670"
Qatar,8,100,100,,0.851,"85,550",2168.67,78.37,2.02,"85,550"
Romania,12,,99,,0.785,"9,060",21698.59,73.83,1.42,"9,060"
Russian Federation,10,70,100,,0.778,"13,860",142833.69,67.98,1.54,"13,860"
Rwanda,52,64,69,879,0.506,620,11776.52,64.07,4.51,620
Saint Lucia,15,,99,27,0.714,"7,090",182.27,74.8,1.91,"7,090"
Saint Vincent and the Grenadines,19,,99,9,0.719,"6,580",109.37,72.49,2,"6,580"
Samoa,18,92,81,121,0.694,"3,430",190.37,73.16,4.15,"3,430"
Sao Tome and Principe,51,34,82,49,0.558,"1,470",192.99,66.34,4.08,"1,470"
Saudi Arabia,16,100,97,,0.836,"26,200",28828.87,75.48,2.64,"26,200"
Senegal,55,52,65,"1,080",0.485,"1,070",14133.28,63.45,4.93,"1,070"
Serbia,7,97,100,"1,090",0.745,"5,730",9510.51,74.06,1.37,"5,730"
Seychelles,14,97,,35,0.756,"12,530",92.84,73.19,2.18,"12,530"
Sierra Leone,161,13,60,443,0.374,680,6092.08,45.56,4.71,680
Singapore,3,100,,,0.901,"54,040",5411.74,82.32,1.28,"54,040"
Slovakia,7,100,99,,0.83,"17,200",5450.22,75.4,1.4,"17,200"
Slovenia,3,100,100,,0.874,"22,830",2072,79.59,1.51,"22,830"
Solomon Islands,30,29,86,305,0.491,"1,610",561.23,67.68,4.03,"1,610"
South Africa,44,74,91,"1,067",0.658,"7,190",52776.13,56.92,2.39,"7,190"
Spain,4,100,,,0.869,"29,180",46926.96,82.1,1.51,"29,180"
Sri Lanka,10,92,99,488,0.75,"3,170",21273.23,74.29,2.34,"3,170"
Sudan,77,24,23,983,0.473,"1,130",37964.31,62.06,4.42,"1,130"
Suriname,23,80,91,40,0.705,"9,260",539.28,71.02,2.27,"9,260"
Swaziland,80,57,82,88,0.53,"3,080",1249.51,49,3.33,"3,080"
Sweden,3,100,,,0.898,"59,130",9571.11,81.82,1.93,"59,130"
Switzerland,4,100,,,0.917,"80,950",8077.83,82.6,1.53,"80,950"
Syrian Arab Republic,15,96,96,"1,672",0.658,,21898.06,74.55,2.96,
Tajikistan,48,94,87,394,0.607,990,8207.83,67.25,3.82,990
Thailand,13,93,100,-135,0.722,"5,370",67010.5,74.4,1.4,"5,370"
The former Yugoslav Republic of Macedonia,7,91,98,149,0.732,"4,800",2107.16,75.2,1.43,"4,800"
Timor-Leste,55,39,29,283,0.62,"3,580",1132.88,67.54,5.86,"3,580"
Togo,85,11,59,241,0.473,530,6816.98,56.54,4.64,530
Tonga,12,91,98,78,0.705,"4,490",105.32,72.67,3.77,"4,490"
Trinidad and Tobago,21,92,100,,0.766,"15,760",1341.15,69.87,1.8,"15,760"
Tunisia,15,90,99,"1,017",0.721,"4,360",10996.52,75.87,2.01,"4,360"
Turkey,19,91,91,"3,033",0.759,"10,950",74932.64,75.26,2.04,"10,950"
Turkmenistan,55,99,97,38,0.698,"6,880",5240.07,65.45,2.33,"6,880"
Uganda,66,34,57,"1,655",0.484,510,37578.88,59.21,5.87,510
Ukraine,10,94,99,769,0.734,"3,960",45238.81,68.53,1.47,"3,960"
